linename,station,weekdate,week,weekend,weekday_am,weekday_pm
AC,EUCLID AV,2022-05-02T00:00:00Z,18,9509,8080,3326
AC,EUCLID AV,2022-05-09T00:00:00Z,19,,8719,3404
AC,HIGH ST,2022-05-02T00:00:00Z,18,4421,1659,8213
AC,HIGH ST,2022-05-09T00:00:00Z,19,,1485,8194
AC,NOSTRAND AV,2022-05-02T00:00:00Z,18,6856,6058,8894
AC,NOSTRAND AV,2022-05-09T00:00:00Z,19,,6280,9136
AC,UTICA AV,2022-05-02T00:00:00Z,18,5833,11186,4850
AC,UTICA AV,2022-05-09T00:00:00Z,19,,11870,5010
AC1,168 ST,2022-05-02T00:00:00Z,18,8339,7675,17848
AC1,168 ST,2022-05-09T00:00:00Z,19,,7911,17979
ACBD,125 ST,2022-05-02T00:00:00Z,18,12769,8063,18629
ACBD,125 ST,2022-05-09T00:00:00Z,19,,9050,20100
ACE,CANAL ST,2022-05-02T00:00:00Z,18,6525,1009,16049
ACE,CANAL ST,2022-05-09T00:00:00Z,19,,999,16439
ACE23,PARK PLACE,2022-05-02T00:00:00Z,18,10536,5182,41077
